Sr No,Folder Name,File Name,Total PDFs in Folder,Expected Pages,Total Pages Found,Reference Barcode,Mismatch Pages,Mismatch Details,Missing Pages Count,Final Status,Processed Time
1,1774437104013,112029522.pdf,9,36,36,112029522,-,-,0,VALID,25-03-2026 16:41:48
2,1774437104013,112029523.pdf,9,36,36,112029523,-,-,0,VALID,25-03-2026 16:41:53
3,1774437104013,112029524.pdf,9,36,36,112029524,-,-,0,VALID,25-03-2026 16:41:57
4,1774437104013,112029525.pdf,9,36,36,112029525,-,-,0,VALID,25-03-2026 16:42:01
5,1774437104013,2413304087.pdf,9,36,36,2413304087,"3, 5, 7","Page 3: 2413304088, Page 5: 2413304088, Page 7: 2413304088",0,INVALID (Barcode Mismatch),25-03-2026 16:42:08
6,1774437104013,2413304088.pdf,9,36,36,2413304088,"3, 5, 7","Page 3: 2413304087, Page 5: 2413304087, Page 7: 2413304087",0,INVALID (Barcode Mismatch),25-03-2026 16:42:15
7,1774437104013,2413304089.pdf,9,36,36,2413304089,"11, 13, 15","Page 11: 2413304091, Page 13: 2413304091, Page 15: 2413304091",0,INVALID (Barcode Mismatch),25-03-2026 16:42:23
8,1774437104013,2413304090.pdf,9,36,36,2413304090,"11, 13, 15","Page 11: 2413304086, Page 13: 2413304086, Page 15: 2413304086",0,INVALID (Barcode Mismatch),25-03-2026 16:42:30
9,1774437104013,2413304091.pdf,9,36,36,2413304091,"19, 21, 23","Page 19: 2413304089, Page 21: 2413304089, Page 23: 2413304089",0,INVALID (Barcode Mismatch),25-03-2026 16:42:37
