Sr No,Folder Name,File Name,Total PDFs in Folder,Expected Pages,Total Pages Found,Reference Barcode,Mismatch Pages,Mismatch Details,Missing Pages Count,Final Status,Processed Time
1,VISHNU sir,112029522.pdf,36,36,36,112029522,-,-,0,VALID,07-03-2026 11:03:30
2,VISHNU sir,112029523.pdf,36,36,36,112029523,-,-,0,VALID,07-03-2026 11:03:40
3,VISHNU sir,112029524.pdf,36,36,36,112029524,-,-,0,VALID,07-03-2026 11:03:51
4,VISHNU sir,112029525.pdf,36,36,36,112029525,-,-,0,VALID,07-03-2026 11:04:01
5,VISHNU sir,112029526.pdf,36,36,36,112029526,-,-,0,VALID,07-03-2026 11:04:11
6,VISHNU sir,112029527.pdf,36,36,36,112029527,-,-,0,VALID,07-03-2026 11:04:21
7,VISHNU sir,112029528.pdf,36,36,36,112029528,-,-,0,VALID,07-03-2026 11:04:32
8,VISHNU sir,112029529.pdf,36,36,36,112029529,-,-,0,VALID,07-03-2026 11:04:43
9,VISHNU sir,112029530.pdf,36,36,36,112029530,-,-,0,VALID,07-03-2026 11:04:53
10,VISHNU sir,112029531.pdf,36,36,36,112029531,-,-,0,VALID,07-03-2026 11:05:03
11,VISHNU sir,112029612.pdf,36,36,36,112029612,-,-,0,VALID,07-03-2026 11:05:14
12,VISHNU sir,112029613.pdf,36,36,36,112029613,-,-,0,VALID,07-03-2026 11:05:24
13,VISHNU sir,112029614.pdf,36,36,36,112029614,-,-,0,VALID,07-03-2026 11:05:35
14,VISHNU sir,112029615.pdf,36,36,36,112029615,-,-,0,VALID,07-03-2026 11:05:45
15,VISHNU sir,112029616.pdf,36,36,36,112029616,-,-,0,VALID,07-03-2026 11:05:56
16,VISHNU sir,112029617.pdf,36,36,36,112029617,-,-,0,VALID,07-03-2026 11:06:06
17,VISHNU sir,112029618.pdf,36,36,36,112029618,-,-,0,VALID,07-03-2026 11:06:16
18,VISHNU sir,112029632.pdf,36,36,36,112029632,-,-,0,VALID,07-03-2026 11:06:27
19,VISHNU sir,112029633.pdf,36,36,36,112029633,-,-,0,VALID,07-03-2026 11:06:37
20,VISHNU sir,112029634.pdf,36,36,36,112029634,-,-,0,VALID,07-03-2026 11:06:48
21,VISHNU sir,112029636.pdf,36,36,36,112029636,-,-,0,VALID,07-03-2026 11:06:58
22,VISHNU sir,112029637.pdf,36,36,36,112029637,-,-,0,VALID,07-03-2026 11:07:09
23,VISHNU sir,112029638.pdf,36,36,36,112029638,-,-,0,VALID,07-03-2026 11:07:21
24,VISHNU sir,112029639.pdf,36,36,36,112029639,-,-,0,VALID,07-03-2026 11:07:31
25,VISHNU sir,112029640.pdf,36,36,36,112029640,-,-,0,VALID,07-03-2026 11:07:42
26,VISHNU sir,112029641.pdf,36,36,36,112029641,-,-,0,VALID,07-03-2026 11:07:52
27,VISHNU sir,112029642.pdf,36,36,36,112029642,-,-,0,VALID,07-03-2026 11:08:02
28,VISHNU sir,112029643.pdf,36,36,36,112029643,-,-,0,VALID,07-03-2026 11:08:13
29,VISHNU sir,112030016.pdf,36,36,36,111924698,-,-,0,VALID,07-03-2026 11:08:23
30,VISHNU sir,112030018.pdf,36,36,36,111924699,-,-,0,VALID,07-03-2026 11:08:33
31,VISHNU sir,2413304086.pdf,36,36,36,2413304086,"11, 13, 15","Page 11: 2413304090, Page 13: 2413304090, Page 15: 2413304090",0,INVALID (Barcode Mismatch),07-03-2026 11:08:44
32,VISHNU sir,2413304087.pdf,36,36,36,2413304087,"3, 5, 7","Page 3: 2413304088, Page 5: 2413304088, Page 7: 2413304088",0,INVALID (Barcode Mismatch),07-03-2026 11:08:54
33,VISHNU sir,2413304088.pdf,36,36,36,2413304088,"3, 5, 7","Page 3: 2413304087, Page 5: 2413304087, Page 7: 2413304087",0,INVALID (Barcode Mismatch),07-03-2026 11:09:04
34,VISHNU sir,2413304089.pdf,36,36,36,2413304089,"11, 13, 15","Page 11: 2413304091, Page 13: 2413304091, Page 15: 2413304091",0,INVALID (Barcode Mismatch),07-03-2026 11:09:15
35,VISHNU sir,2413304090.pdf,36,36,36,2413304090,"11, 13, 15","Page 11: 2413304086, Page 13: 2413304086, Page 15: 2413304086",0,INVALID (Barcode Mismatch),07-03-2026 11:09:25
36,VISHNU sir,2413304091.pdf,36,36,36,2413304091,"19, 21, 23","Page 19: 2413304089, Page 21: 2413304089, Page 23: 2413304089",0,INVALID (Barcode Mismatch),07-03-2026 11:09:36
