Sr No,Folder Name,File Name,Total PDFs in Folder,Expected Pages,Total Pages Found,Reference Barcode,Mismatch Pages,Mismatch Details,Missing Pages Count,Final Status,Processed Time
1,1774436094297,112029522.pdf,36,36,36,112029522,-,-,0,VALID,25-03-2026 16:25:00
2,1774436094297,112029523.pdf,36,36,36,112029523,-,-,0,VALID,25-03-2026 16:25:05
3,1774436094297,112029524.pdf,36,36,36,112029524,-,-,0,VALID,25-03-2026 16:25:09
4,1774436094297,112029525.pdf,36,36,36,112029525,-,-,0,VALID,25-03-2026 16:25:14
5,1774436094297,112029526.pdf,36,36,36,112029526,-,-,0,VALID,25-03-2026 16:25:19
6,1774436094297,112029527.pdf,36,36,36,112029527,-,-,0,VALID,25-03-2026 16:25:24
7,1774436094297,112029528.pdf,36,36,36,112029528,-,-,0,VALID,25-03-2026 16:25:29
8,1774436094297,112029529.pdf,36,36,36,112029529,-,-,0,VALID,25-03-2026 16:25:34
9,1774436094297,112029530.pdf,36,36,36,112029530,-,-,0,VALID,25-03-2026 16:25:38
10,1774436094297,112029531.pdf,36,36,36,112029531,-,-,0,VALID,25-03-2026 16:25:43
11,1774436094297,112029612.pdf,36,36,36,112029612,-,-,0,VALID,25-03-2026 16:25:48
12,1774436094297,112029613.pdf,36,36,36,112029613,-,-,0,VALID,25-03-2026 16:25:53
13,1774436094297,112029614.pdf,36,36,36,112029614,-,-,0,VALID,25-03-2026 16:25:58
14,1774436094297,112029615.pdf,36,36,36,112029615,-,-,0,VALID,25-03-2026 16:26:03
15,1774436094297,112029616.pdf,36,36,36,112029616,-,-,0,VALID,25-03-2026 16:26:08
16,1774436094297,112029617.pdf,36,36,36,112029617,-,-,0,VALID,25-03-2026 16:26:13
17,1774436094297,112029618.pdf,36,36,36,112029618,-,-,0,VALID,25-03-2026 16:26:18
18,1774436094297,112029632.pdf,36,36,36,112029632,-,-,0,VALID,25-03-2026 16:26:23
19,1774436094297,112029633.pdf,36,36,36,112029633,-,-,0,VALID,25-03-2026 16:26:27
20,1774436094297,112029634.pdf,36,36,36,112029634,-,-,0,VALID,25-03-2026 16:26:32
21,1774436094297,112029636.pdf,36,36,36,112029636,-,-,0,VALID,25-03-2026 16:26:37
22,1774436094297,112029637.pdf,36,36,36,112029637,-,-,0,VALID,25-03-2026 16:26:42
23,1774436094297,112029638.pdf,36,36,36,112029638,-,-,0,VALID,25-03-2026 16:26:46
24,1774436094297,112029639.pdf,36,36,36,112029639,-,-,0,VALID,25-03-2026 16:26:51
25,1774436094297,112029640.pdf,36,36,36,112029640,-,-,0,VALID,25-03-2026 16:26:56
26,1774436094297,112029641.pdf,36,36,36,112029641,-,-,0,VALID,25-03-2026 16:27:01
27,1774436094297,112029642.pdf,36,36,36,112029642,-,-,0,VALID,25-03-2026 16:27:06
28,1774436094297,112029643.pdf,36,36,36,112029643,-,-,0,VALID,25-03-2026 16:27:10
29,1774436094297,112030016.pdf,36,36,36,111924698,-,-,0,VALID,25-03-2026 16:27:15
30,1774436094297,112030018.pdf,36,36,36,111924699,-,-,0,VALID,25-03-2026 16:27:20
31,1774436094297,2413304086.pdf,36,36,36,2413304086,"11, 13, 15","Page 11: 2413304090, Page 13: 2413304090, Page 15: 2413304090",0,INVALID (Barcode Mismatch),25-03-2026 16:27:28
32,1774436094297,2413304087.pdf,36,36,36,2413304087,"3, 5, 7","Page 3: 2413304088, Page 5: 2413304088, Page 7: 2413304088",0,INVALID (Barcode Mismatch),25-03-2026 16:27:36
33,1774436094297,2413304088.pdf,36,36,36,2413304088,"3, 5, 7","Page 3: 2413304087, Page 5: 2413304087, Page 7: 2413304087",0,INVALID (Barcode Mismatch),25-03-2026 16:27:44
34,1774436094297,2413304089.pdf,36,36,36,2413304089,"11, 13, 15","Page 11: 2413304091, Page 13: 2413304091, Page 15: 2413304091",0,INVALID (Barcode Mismatch),25-03-2026 16:27:51
35,1774436094297,2413304090.pdf,36,36,36,2413304090,"11, 13, 15","Page 11: 2413304086, Page 13: 2413304086, Page 15: 2413304086",0,INVALID (Barcode Mismatch),25-03-2026 16:28:00
36,1774436094297,2413304091.pdf,36,36,36,2413304091,"19, 21, 23","Page 19: 2413304089, Page 21: 2413304089, Page 23: 2413304089",0,INVALID (Barcode Mismatch),25-03-2026 16:28:08
