Sr No,Folder Name,File Name,Total PDFs in Folder,Expected Pages,Total Pages Found,Reference Barcode,Mismatch Pages,Mismatch Details,Missing Pages Count,Final Status,Processed Time
1,1774672923100,112029522.pdf,36,36,36,112029522,-,-,0,VALID,28-03-2026 10:12:12
2,1774672923100,112029523.pdf,36,36,36,112029523,-,-,0,VALID,28-03-2026 10:12:17
3,1774672923100,112029524.pdf,36,36,36,112029524,-,-,0,VALID,28-03-2026 10:12:21
4,1774672923100,112029525.pdf,36,36,36,112029525,-,-,0,VALID,28-03-2026 10:12:25
5,1774672923100,112029526.pdf,36,36,36,112029526,-,-,0,VALID,28-03-2026 10:12:29
6,1774672923100,112029527.pdf,36,36,36,112029527,-,-,0,VALID,28-03-2026 10:12:32
7,1774672923100,112029528.pdf,36,36,36,112029528,-,-,0,VALID,28-03-2026 10:12:36
8,1774672923100,112029529.pdf,36,36,36,112029529,-,-,0,VALID,28-03-2026 10:12:39
9,1774672923100,112029530.pdf,36,36,36,112029530,-,-,0,VALID,28-03-2026 10:12:43
10,1774672923100,112029531.pdf,36,36,36,112029531,-,-,0,VALID,28-03-2026 10:12:46
11,1774672923100,112029612.pdf,36,36,36,112029612,-,-,0,VALID,28-03-2026 10:12:50
12,1774672923100,112029613.pdf,36,36,36,112029613,-,-,0,VALID,28-03-2026 10:12:53
13,1774672923100,112029614.pdf,36,36,36,112029614,-,-,0,VALID,28-03-2026 10:12:57
14,1774672923100,112029615.pdf,36,36,36,112029615,-,-,0,VALID,28-03-2026 10:13:01
15,1774672923100,112029616.pdf,36,36,36,112029616,-,-,0,VALID,28-03-2026 10:13:05
16,1774672923100,112029617.pdf,36,36,36,112029617,-,-,0,VALID,28-03-2026 10:13:08
17,1774672923100,112029618.pdf,36,36,36,112029618,-,-,0,VALID,28-03-2026 10:13:12
18,1774672923100,112029632.pdf,36,36,36,112029632,-,-,0,VALID,28-03-2026 10:13:15
19,1774672923100,112029633.pdf,36,36,36,112029633,-,-,0,VALID,28-03-2026 10:13:19
20,1774672923100,112029634.pdf,36,36,36,112029634,-,-,0,VALID,28-03-2026 10:13:22
21,1774672923100,112029636.pdf,36,36,36,112029636,-,-,0,VALID,28-03-2026 10:13:26
22,1774672923100,112029637.pdf,36,36,36,112029637,-,-,0,VALID,28-03-2026 10:13:29
23,1774672923100,112029638.pdf,36,36,36,112029638,-,-,0,VALID,28-03-2026 10:13:32
24,1774672923100,112029639.pdf,36,36,36,112029639,-,-,0,VALID,28-03-2026 10:13:36
25,1774672923100,112029640.pdf,36,36,36,112029640,-,-,0,VALID,28-03-2026 10:13:39
26,1774672923100,112029641.pdf,36,36,36,112029641,-,-,0,VALID,28-03-2026 10:13:43
27,1774672923100,112029642.pdf,36,36,36,112029642,-,-,0,VALID,28-03-2026 10:13:46
28,1774672923100,112029643.pdf,36,36,36,112029643,-,-,0,VALID,28-03-2026 10:13:50
29,1774672923100,112030016.pdf,36,36,36,111924698,-,-,0,VALID,28-03-2026 10:13:53
30,1774672923100,112030018.pdf,36,36,36,111924699,-,-,0,VALID,28-03-2026 10:13:57
31,1774672923100,2413304086.pdf,36,36,36,2413304086,"11, 13, 15","Page 11: 2413304090, Page 13: 2413304090, Page 15: 2413304090",0,INVALID (Barcode Mismatch),28-03-2026 10:14:04
32,1774672923100,2413304087.pdf,36,36,36,2413304087,"3, 5, 7","Page 3: 2413304088, Page 5: 2413304088, Page 7: 2413304088",0,INVALID (Barcode Mismatch),28-03-2026 10:14:11
33,1774672923100,2413304088.pdf,36,36,36,2413304088,"3, 5, 7","Page 3: 2413304087, Page 5: 2413304087, Page 7: 2413304087",0,INVALID (Barcode Mismatch),28-03-2026 10:14:18
34,1774672923100,2413304089.pdf,36,36,36,2413304089,"11, 13, 15","Page 11: 2413304091, Page 13: 2413304091, Page 15: 2413304091",0,INVALID (Barcode Mismatch),28-03-2026 10:14:25
35,1774672923100,2413304090.pdf,36,36,36,2413304090,"11, 13, 15","Page 11: 2413304086, Page 13: 2413304086, Page 15: 2413304086",0,INVALID (Barcode Mismatch),28-03-2026 10:14:32
36,1774672923100,2413304091.pdf,36,36,36,2413304091,"19, 21, 23","Page 19: 2413304089, Page 21: 2413304089, Page 23: 2413304089",0,INVALID (Barcode Mismatch),28-03-2026 10:14:38
